Name,Location,Zip,Programs,Center Phone,Region
ALUA - University of Alabama Hospital,"Birmingham, AL",35233,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",866-305-5691,3
AZGS - Banner-University Medical Center Phoenix,"Phoenix, AZ",85066,"Heart, Kidney, Liver, Pancreas",800-554-1923,5
AZMC - Mayo Clinic Hospital Arizona,"Phoenix, AZ",85054,"Heart, Kidney, Liver, Pancreas",480-515-6296,5
AZSJ - St. Joseph's Hospital and Medical Center,"Phoenix, AZ",85013,"Kidney, Liver, Lung",602-406-3000,5
AZUA - Banner University Medical Center-Tucson,"Tucson, AZ",85719,"Heart (inactive ), Heart-Lung (inactive ), Kidney, Liver, Lung, Pancreas",520-694-0111,5
CASM - University of California Davis Medical Center,"Sacramento, CA",95817,"Heart, Kidney, Liver",916-734-2111,5
CAPM - California Pacific Medical Center-Van Ness Campus,"San Francisco, CA",94109,"Heart, Kidney, Liver, Pancreas",877-427-6289,5
CAMB - UCSF Medical Center at Mission Bay,"San Francisco, CA",94158,"Heart, Kidney, Liver",800-482-7389,5
CASF - University of California San Francisco Medical Center,"San Francisco, CA",94143,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",415-353-1551,5
CASU - Stanford Health Care,"Stanford, CA",94305,"Heart, Heart-Lung, Intestine, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",650-723-4000,5
COUC - University of Colorado Hospital/Health Science Center,"Aurora, CO",80045,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",720-848-2280,8
COPM - Centura Transplant,"Denver, CO",80210,"Kidney, Liver",888-872-8891,8
COSL - Presbyterian/St Luke's Medical Center,"Denver, CO",80218,"Kidney, Liver",800-758-1005,8
FLUF - UF Health Shands Hospital,"Gainesville, FL",32608,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",800-749-7424,3
FLSL - Mayo Clinic Hospital Florida,"Jacksonville, FL",32224,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",877-404-6296,3
FLLM - Largo Medical Center,"Largo, FL",33770,"Heart, Kidney, Liver",727-588-5728,3
FLJM - Jackson Memorial Hospital University of Miami School of Medicine,"Miami, FL",33136,"Heart, Heart-Lung, Intestine, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",305-355-5760,3
FLFH - AdventHealth Orlando,"Orlando, FL",32803,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",407-303-2474,3
FLTG - Tampa General Hospital,"Tampa, FL",33606,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",800-505-7769,3
FLCC - Cleveland Clinic Florida Weston,"Weston, FL",33331,"Heart, Kidney, Liver",954-689-5000,3
GAEM - Emory University Hospital,"Atlanta, GA",30322,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",855-366-7989,3
GAPH - Piedmont Hospital,"Atlanta, GA",30309,"Heart, Kidney, Liver, Pancreas",888-605-5888,3
IAIV - University of Iowa Hospitals and Clinics Transplant Programs,"Iowa City, IA",52242,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",800-777-8442,8
ILUC - University of Chicago Medical Center,"Chicago, IL",60615,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",773-702-3000,7
ILUI - University of Illinois Medical Center,"Chicago, IL",60612,"Intestine, Kidney, Liver, Pancreas, Pancreatic Islet",312-996-7000,7
ILNM - Northwestern Memorial Hospital,"Chicago, IL",60611,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",312-926-2000,7
ILPL - Rush University Medical Center,"Chicago, IL",60612,"Kidney, Liver, Pancreas",312-942-5000,7
ILLU - Loyola University Medical Center,"Maywood, IL",60153,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",708-216-9000,7
INIM - Indiana University Health,"Indianapolis, IN",46202,"Heart, Heart-Lung, Intestine, Kidney, Liver, Lung, Pancreas",800-510-2725,10
KSUK - University of Kansas Hospital,"Kansas City, KS",66160,"Heart, Kidney, Liver, Pancreas",913-588-5000,8
KYUK - University of Kentucky Medical Center,"Lexington, KY",40536,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",800-456-5287,11
KYJH - Jewish Hospital,"Louisville, KY",40202,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",502-587-4011,11
MIUM - University of Michigan Medical Center,"Ann Arbor, MI",48109,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",734-936-4000,10
MIHF - Henry Ford Hospital,"Detroit, MI",48202,"Heart, Heart-Lung, Intestine, Kidney, Liver, Lung, Pancreas",313-916-2600,10
MIBH - William Beaumont Hospital,"Royal Oak, MI",48073,"Kidney, Liver",248-898-5000,10
"MNUM - University of Minnesota Medical Center, Fairview","Minneapolis, MN",55455,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas, Pancreatic Islet",800-328-5465,7
MNMC - Mayo Clinic Hospital Minnesota,"Rochester, MN",55902,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",507-284-2511,7
MOLH - St Luke's Hospital of Kansas City,"Kansas City, MO",64111,"Heart, Kidney, Liver",816-932-2000,8
MOSL - SSM Health Saint Louis University Hospital,"St. Louis, MO",63104,"Kidney, Liver, Pancreas",314-257-8000,8
MOBH - Barnes-Jewish Hospital,"St. Louis, MO",63110,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",314-747-3000,8
NEUN - The Nebraska Medical Center,"Omaha, NE",68105,"Heart, Heart-Lung, Intestine, Kidney, Liver, Lung, Pancreas",800-401-4444,8
OKBC - Integris Baptist Medical Center,"Oklahoma City, OK",73112,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",405-949-3349,4
OKMD - OU Medical Center,"Oklahoma City, OK",73104,"Kidney, Liver, Pancreas",405-271-8000,4
ORUO - Oregon Health and Science University,"Portland, OR",97239,"Heart, Kidney, Liver, Pancreas",800-452-1369,6
ORVA - VA Portland Health Care System,"Portland, OR",97239,"Kidney, Liver",800-949-1004,6
UTLD - Intermountain Medical Center,"Murray, UT",84107,"Heart, Kidney, Liver, Pancreas",866-439-0480,5
UTMC - University of Utah Medical Center,"Salt Lake City, UT",84132,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",801-581-2121,5
WASM - Swedish Medical Center,"Seattle, WA",98104,"Kidney, Liver, Pancreas",206-386-6000,6
WAUW - University of Washington Medical Center,"Seattle, WA",98195,"Heart, Heart-Lung, Intestine (inactive ), Kidney, Liver, Lung, Pancreas",866-894-3278,6
WIUW - University of Wisconsin Hospital and Clinics,"Madison, WI",53792,"Heart, Heart-Lung, Kidney, Liver, Lung, Pancreas",608-263-6400,7
WISE - Froedtert Memorial Lutheran Hospital,"Milwaukee, WI",53226,"Heart, Heart-Lung, Kidney, Liver, Lung",800-805-4700,7
WISL - Aurora St. Luke's Medical Center,"Milwaukee, WI",53215,"Heart, Kidney, Liver, Pancreas",888-863-5502,7